region_code,region,location_code,location,period,gender,gender_code,life_expect_birth
AMR,Americas,ARG,Argentina,2019,Both sexes,BTSX,76.58
AMR,Americas,BHS,Bahamas,2019,Female,FMLE,76.59
EMR,Eastern Mediterranean,QAT,Qatar,2019,Female,FMLE,76.63
AMR,Americas,PAN,Panama,2019,Male,MLE,76.65
AMR,Americas,COL,Colombia,2019,Male,MLE,76.69
EUR,Europe,BIH,Bosnia and Herzegovina,2019,Both sexes,BTSX,76.75
EUR,Europe,MKD,The former Yugoslav Republic of Macedonia,2019,Female,FMLE,76.87
SEAR,South-East Asia,LKA,Sri Lanka,2019,Both sexes,BTSX,76.87
EMR,Eastern Mediterranean,BHR,Bahrain,2019,Female,FMLE,77.02
EMR,Eastern Mediterranean,JOR,Jordan,2019,Male,MLE,77.02
EMR,Eastern Mediterranean,TUN,Tunisia,2019,Both sexes,BTSX,77.04
WPR,Western Pacific,MYS,Malaysia,2019,Female,FMLE,77.08
AMR,Americas,URY,Uruguay,2019,Both sexes,BTSX,77.1
EUR,Europe,MDA,Republic of Moldova,2019,Female,FMLE,77.12
AFR,Africa,DZA,Algeria,2019,Both sexes,BTSX,77.13
AFR,Africa,SYC,Seychelles,2019,Female,FMLE,77.15
EMR,Eastern Mediterranean,QAT,Qatar,2019,Both sexes,BTSX,77.17
EUR,Europe,KGZ,Kyrgyzstan,2019,Female,FMLE,77.31
AFR,Africa,MUS,Mauritius,2019,Female,FMLE,77.32
EMR,Eastern Mediterranean,LBY,Libya,2019,Female,FMLE,77.34
